eps	sigma	t	zeta_logderiv_norm	log_2_plus_t	ratio
0.2500	0.7500	10.00	1.542565973533240e-1	2.484906649788000e0	6.207742144618768e-2
0.2500	0.7500	210.00	1.468575848768502e0	5.356586274672012e0	2.741626426727206e-1
0.2500	0.7500	410.00	1.264268383034546e0	6.021023349349527e0	2.099756652116505e-1
0.2500	0.7500	610.00	1.185128285248422e0	6.416732282512326e0	1.846934285350007e-1
0.2500	0.7500	810.00	2.109486363930558e0	6.699500340161678e0	3.148721929730732e-1
0.2500	0.7500	1010.00	1.734497799264716e0	6.919683849847411e0	2.506614228196227e-1
0.2500	0.7500	1210.00	2.235319785075764e0	7.100027166629260e0	3.148325679064947e-1
0.2500	0.7500	1410.00	1.997006253099205e0	7.252762418053187e0	2.753442258260610e-1
0.2500	0.7500	1610.00	3.633529547122202e0	7.385230923066573e0	4.919994493027240e-1
0.2500	0.7500	1810.00	1.724500746729416e0	7.502186486602924e0	2.298664195843376e-1
0.2500	0.7500	2010.00	1.348670343611742e0	7.606884531219630e0	1.772960188992782e-1
0.2500	0.7500	2210.00	1.808488791881396e0	7.701652362642226e0	2.348182840157372e-1
0.2500	0.7500	2410.00	2.711255339135249e0	7.788211557847076e0	3.481229700807885e-1
0.2500	0.7500	2610.00	6.953310975336605e-1	7.867871490396322e0	8.837601101929476e-2
0.2500	0.7500	2810.00	1.781822642293137e0	7.941651252930556e0	2.243642519099066e-1
0.2500	0.7500	3010.00	2.283090365706973e0	8.010359588919783e0	2.850172130680657e-1
0.2500	0.7500	3210.00	3.480672386371121e0	8.074649075066652e0	4.310617531502308e-1
0.2500	0.7500	3410.00	1.076529342839149e0	8.135053908611569e0	1.323321707431541e-1
0.2500	0.7500	3610.00	1.995147351404408e0	8.192016914536875e0	2.435477578011326e-1
0.2500	0.7500	3810.00	1.048984873205446e0	8.245909264774093e0	1.272127596269621e-1
0.2500	0.7500	4010.00	2.603540983945293e0	8.297045149081827e0	3.137913482649191e-1
0.2500	0.7500	4210.00	7.806472388250282e-1	8.345692873253865e0	9.353893687207604e-2
0.2500	0.7500	4410.00	7.515840075357383e-1	8.392083380373393e0	8.955869162280627e-2
0.2500	0.7500	4610.00	1.179407042932894e0	8.436416881388949e0	1.397995214692045e-1
0.2500	0.7500	4810.00	1.584637621991551e0	8.478868077094569e0	1.868925908014074e-1
0.2500	0.7500	5010.00	1.955049728781442e0	8.519590316015959e0	2.294769650021960e-1
0.2500	0.7500	5210.00	1.701423426694523e0	8.558718938244736e0	1.987941698951805e-1
0.2500	0.7500	5410.00	1.714746782482176e0	8.596373989290679e0	1.994732644971473e-1
0.2500	0.7500	5610.00	2.472024594417841e0	8.632662441222351e0	2.863571477802174e-1
0.2500	0.7500	5810.00	1.221239814202814e0	8.667680024690174e0	1.408958118809269e-1
0.2500	0.7500	6010.00	1.219198444613801e0	8.701512750872865e0	1.401133894208799e-1
0.2500	0.7500	6210.00	2.172885100287106e0	8.734238184268579e0	2.487778618403990e-1
0.2500	0.7500	6410.00	1.600819466057326e0	8.765926513729443e0	1.826183990420268e-1
0.2500	0.7500	6610.00	2.532113617281509e0	8.796641458940915e0	2.878500424395343e-1
0.2500	0.7500	6810.00	1.275632707525977e0	8.826441041782578e0	1.445240161337271e-1
0.2500	0.7500	7010.00	1.129285057210346e0	8.855378246041125e0	1.275253327225410e-1
0.2500	0.7500	7210.00	1.185362065246131e0	8.883501584323207e0	1.334341029823138e-1
0.2500	0.7500	7410.00	1.843418712726550e0	8.910855587405250e0	2.068733686282682e-1
0.2500	0.7500	7610.00	2.328114781440673e0	8.937481228416040e0	2.604889142635187e-1
0.2500	0.7500	7810.00	3.277640815742981e0	8.963416291996570e0	3.656687036470219e-1
0.2500	0.7500	8010.00	1.134125082883213e-1	8.988695696785708e0	1.261723748517560e-2
0.2500	0.7500	8210.00	1.246420649501052e0	9.013351778138825e0	1.382860316762680e-1
0.2500	0.7500	8410.00	3.221979601746762e0	9.037414536822590e0	3.565156371458820e-1
0.2500	0.7500	8610.00	2.462003197231212e0	9.060911858484253e0	2.717169348607995e-1
0.2500	0.7500	8810.00	2.161855530353451e0	9.083869707922235e0	2.379883903957860e-1
0.2500	0.7500	9010.00	1.321618621103743e0	9.106312301552135e0	1.451321432143809e-1
0.2500	0.7500	9210.00	2.005691986592919e0	9.128262260940575e0	2.197233086931764e-1
0.2500	0.7500	9410.00	2.016387148182959e0	9.149740749847252e0	2.203764241316477e-1
0.2500	0.7500	9610.00	1.687449962225954e0	9.170767596856360e0	1.840031321701352e-1
0.2500	0.7500	9810.00	6.028041729074807e-1	9.191361405378380e0	6.558377440742851e-2
0.2500	0.7500	12000.00	2.723535801693659e0	9.392828581549459e0	2.899590659030615e-1
0.2500	0.7500	15000.00	3.623570766063843e0	9.615938804529582e0	3.768296408414082e-1
0.2500	0.7500	20000.00	1.087767629670978e0	9.903587547536461e0	1.098357160422702e-1
0.5000	1.0000	10.00	1.729390454252622e-1	2.484906649788000e0	6.959579163266214e-2
0.5000	1.0000	210.00	6.990445499903326e-1	5.356586274672012e0	1.305018745419415e-1
