x	f_N	f_N_minus_1	abs_dev
0.00269000	1.690548129258035e0	6.905481292580349e-1	6.905481292580349e-1
0.00271000	-1.942032048327719e-2	-1.019420320483277e0	1.019420320483277e0
0.00273000	2.428025485094936e-1	-7.571974514905063e-1	7.571974514905063e-1
0.00275000	2.759979035699249e-2	-9.724002096430076e-1	9.724002096430076e-1
0.00277000	-7.830993548801792e-1	-1.783099354880179e0	1.783099354880179e0
0.00279000	2.065423036585354e0	1.065423036585354e0	1.065423036585354e0
0.00281000	9.097829464235790e-1	-9.021705357642096e-2	9.021705357642096e-2
0.00283000	1.215507692967758e0	2.155076929677580e-1	2.155076929677580e-1
0.00285000	9.064746654206386e-1	-9.352533457936141e-2	9.352533457936141e-2
0.00287000	-7.254355395898499e-1	-1.725435539589850e0	1.725435539589850e0
0.00289000	7.133807355814202e-1	-2.866192644185798e-1	2.866192644185798e-1
0.00291000	1.540250353774106e-1	-8.459749646225894e-1	8.459749646225894e-1
0.00293000	5.006648745906602e-1	-4.993351254093398e-1	4.993351254093398e-1
0.00295000	9.387014077528553e-1	-6.129859224714473e-2	6.129859224714473e-2
0.00297000	-2.005672954211395e-1	-1.200567295421139e0	1.200567295421139e0
0.00299000	2.077936271940497e0	1.077936271940497e0	1.077936271940497e0
0.00301000	1.791841685128722e0	7.918416851287220e-1	7.918416851287220e-1
0.00303000	1.376398224538450e0	3.763982245384501e-1	3.763982245384501e-1
0.00305000	2.131393231555412e-1	-7.868606768444588e-1	7.868606768444588e-1
0.00307000	-6.769048675093525e-2	-1.067690486750935e0	1.067690486750935e0
0.00309000	1.546582955040331e0	5.465829550403314e-1	5.465829550403314e-1
0.00311000	-7.707526645815627e-2	-1.077075266458156e0	1.077075266458156e0
0.00313000	1.035655982073885e0	3.565598207388532e-2	3.565598207388532e-2
0.00315000	9.118968925805652e-1	-8.810310741943483e-2	8.810310741943483e-2
0.00317000	6.050915032716778e-1	-3.949084967283222e-1	3.949084967283222e-1
0.00319000	-1.042013752303590e0	-2.042013752303590e0	2.042013752303590e0
0.00321000	1.063077000890441e0	6.307700089044066e-2	6.307700089044066e-2
0.00323000	3.141655535282525e-1	-6.858344464717474e-1	6.858344464717474e-1
0.00325000	-1.466816366806495e-2	-1.014668163668065e0	1.014668163668065e0
0.00327000	5.145487499233835e-1	-4.854512500766165e-1	4.854512500766165e-1
0.00329000	5.439642086861214e-1	-4.560357913138786e-1	4.560357913138786e-1
0.00331000	1.281400179838315e0	2.814001798383148e-1	2.814001798383148e-1
0.00333000	-2.518519368781555e-1	-1.251851936878156e0	1.251851936878156e0
0.00335000	1.302399237362745e0	3.023992373627451e-1	3.023992373627451e-1
0.00337000	2.512879388176037e-1	-7.487120611823963e-1	7.487120611823963e-1
0.00339000	4.334231988090412e-1	-5.665768011909588e-1	5.665768011909588e-1
0.00341000	8.601945687612300e-1	-1.398054312387700e-1	1.398054312387700e-1
0.00343000	5.173101173836131e-1	-4.826898826163869e-1	4.826898826163869e-1
0.00345000	1.416182749529014e-1	-8.583817250470985e-1	8.583817250470985e-1
0.00347000	3.969263966417664e-2	-9.603073603358233e-1	9.603073603358233e-1
0.00349000	2.191698967149752e0	1.191698967149752e0	1.191698967149752e0
0.00351000	6.623123610151784e-1	-3.376876389848216e-1	3.376876389848216e-1
0.00353000	4.027222294905222e-1	-5.972777705094778e-1	5.972777705094778e-1
0.00355000	6.209717747086896e-1	-3.790282252913104e-1	3.790282252913104e-1
0.00357000	5.246919196679196e-1	-4.753080803320804e-1	4.753080803320804e-1
0.00359000	1.422904348825491e0	4.229043488254909e-1	4.229043488254909e-1
0.00361000	3.287521761344200e-1	-6.712478238655799e-1	6.712478238655799e-1
0.00363000	1.627112559582282e0	6.271125595822822e-1	6.271125595822822e-1
0.00365000	3.501831128164520e-2	-9.649816887183548e-1	9.649816887183548e-1
0.00367000	-2.761975932569430e-2	-1.027619759325694e0	1.027619759325694e0
0.00369000	-3.445672739978637e-1	-1.344567273997864e0	1.344567273997864e0
0.00371000	1.635954162653383e-1	-8.364045837346616e-1	8.364045837346616e-1
0.00373000	7.541964735883883e-2	-9.245803526411611e-1	9.245803526411611e-1
0.00375000	6.893368270245380e-1	-3.106631729754620e-1	3.106631729754620e-1
