# j	a_star(j)
# # d2 = 4.845610540691447e-02
# # N = 40000
1006	-8.007755944115400e-01
1007	-4.110556609814935e-01
1008	2.826985722115071e-02
1009	3.764699034153528e-01
1010	1.000939460294554e+00
1011	-3.021701717251621e-01
1012	-7.673582031450290e-01
1013	4.088232865476457e-01
1014	-4.076349616322342e-03
1015	2.681971735661418e-01
1016	-3.429380163957281e-01
1017	-3.247126992084448e-01
1018	-9.963548901219832e-01
1019	9.684459236456111e-02
1020	4.689146062916383e-01
1021	3.737930559604052e-01
1022	1.061989994211135e+00
1023	4.970236434910366e-01
1024	-7.402695000037431e-03
1025	-1.591770172215991e-02
1026	-1.524705581011680e-01
1027	-3.486215345222568e-01
1028	4.750258379505395e-01
