N	t	zeta_norm	dn_norm	product_norm	cancel_residual	cancel_ratio
2000	22	9.734140545178969e-1	9.970175470212421e-1	9.705108928714352e-1	1.137672904704775e-1	1.172241252582710e-1
2000	24	1.105986425235444e0	9.106493950491120e-1	1.007165869073187e0	1.759555287586558e-1	1.747036254520553e-1
2000	26	1.432060628027021e0	6.894770160952368e-1	9.873728886795411e-1	2.019526574852321e-1	2.045353480945914e-1
2000	28	2.808043181375932e0	3.777307945342455e-1	1.060684381987601e0	6.233847920382204e-2	5.877194032687354e-2
2000	30	5.870395110583916e-1	2.330404667856521e0	1.368039616786686e0	6.121834657245729e-1	4.474895742876932e-1
2000	32	8.865527662531951e-1	1.150329129827315e0	1.019827472150037e0	1.172462009090210e-1	1.149667018302992e-1
2000	34	1.651253224315769e0	6.435500313627303e-1	1.062664064296223e0	2.614908178662927e-1	2.460710083759836e-1
2000	36	2.627576601723659e0	3.909182130739594e-1	1.027167549860759e0	3.178773709345609e-2	3.094698337945466e-2
2000	38	7.802544191052251e-1	1.803905045202836e0	1.407504883165724e0	6.741660935986954e-1	4.789795770245416e-1
2000	40	1.324450671394206e0	7.462083504916053e-1	9.883161508085697e-1	8.535187620602126e-2	8.636090398420834e-2
5000	2	5.654264803804672e-1	1.727116937654677e0	9.765576512635745e-1	5.251415234224502e-2	5.377475899584280e-2
5000	4	5.859361161985774e-1	1.586563887679210e0	9.296250824476723e-1	7.053916099698959e-2	7.587914991628916e-2
5000	6	8.868162950208472e-1	1.102499628485096e0	9.777146357950137e-1	5.670325067327622e-2	5.799570610617774e-2
5000	8	1.310023061869230e0	7.864300301081617e-1	1.030241475988205e0	4.603326234738883e-2	4.468201234398359e-2
5000	10	1.580624707488814e0	6.697813992019889e-1	1.058673028195092e0	5.953545583794011e-2	5.623592388996703e-2
5000	12	1.286458344806362e0	8.196547924471610e-1	1.054451747604177e0	5.502960325856834e-2	5.218788188610933e-2
5000	14	1.231549337821083e-1	5.698753650865546e0	7.018296285128943e-1	1.110605218463102e0	1.582442765798249e0
5000	16	1.534102105434501e0	7.202633510234600e-1	1.104957523272399e0	1.515508836209590e-1	1.371553932427482e-1
5000	18	2.342272070187408e0	4.484030605137151e-1	1.050281964827829e0	5.198225578800976e-2	4.949361936014118e-2
5000	20	1.157898320121508e0	9.380625052708846e-1	1.086180999022131e0	2.012688784086833e-1	1.852995758440648e-1
5000	22	9.734140545178969e-1	1.053299229989579e0	1.025296274084735e0	1.508418873487301e-1	1.471202921159390e-1
5000	24	1.105986425235444e0	9.587670686233886e-1	1.060383362860247e0	1.946225585315008e-1	1.835398077224935e-1
5000	26	1.432060628027021e0	7.561353473355535e-1	1.082831660378782e0	2.557627145798467e-1	2.361980388441718e-1
5000	28	2.808043181375932e0	3.943200706226575e-1	1.107267785591630e0	1.079002466719876e-1	9.744729150079524e-2
5000	30	5.870395110583916e-1	2.348174853559461e0	1.378471417913156e0	5.213512489264662e-1	3.782096909312278e-1
5000	32	8.865527662531951e-1	1.177833961577988e0	1.044211956823925e0	1.381390329443767e-1	1.322902233034570e-1
5000	34	1.651253224315769e0	7.083937091404392e-1	1.169737396303158e0	2.644726116842627e-1	2.260957138927958e-1
5000	36	2.627576601723659e0	4.072039390460624e-1	1.069959542367141e0	8.772517413734837e-2	8.198924413839827e-2
5000	38	7.802544191052251e-1	1.802201801648780e0	1.406175919855859e0	5.817961051340567e-1	4.137434704426557e-1
5000	40	1.324450671394206e0	8.018453229004129e-1	1.062004576269756e0	1.789093012016296e-1	1.684637761449584e-1
100000000	2	5.654264803804672e-1	1.795403968299053e0	1.015168946656457e0	4.251638811484281e-2	4.188109600364950e-2
100000000	4	5.859361161985774e-1	1.609732656191883e0	9.432005006870916e-1	5.886016822699101e-2	6.240472538353536e-2
100000000	6	8.868162950208472e-1	1.104180716362178e0	9.792054519177722e-1	4.587964499344949e-2	4.685395174587140e-2
100000000	8	1.310023061869230e0	7.766451112252758e-1	1.017423006593104e0	3.312900288342133e-2	3.256168050922651e-2
100000000	10	1.580624707488814e0	6.501534605739804e-1	1.027648623442588e0	2.765057487230969e-2	2.690664322565938e-2
100000000	12	1.286458344806362e0	7.980113424199655e-1	1.026608350706292e0	5.105303810487101e-2	4.972980988294832e-2
100000000	14	1.231549337821083e-1	1.019040764794852e1	1.254998979095790e0	1.076214938538344e0	8.575424812805368e-1
100000000	16	1.534102105434501e0	6.787085022180748e-1	1.041208142229045e0	8.350350818432120e-2	8.019866998499908e-2
100000000	18	2.342272070187408e0	4.405825456232161e-1	1.031964191225329e0	4.233788461720434e-2	4.102650554854367e-2
100000000	20	1.157898320121508e0	8.770778278265298e-1	1.015566943456160e0	2.650778792380945e-2	2.610146784967085e-2
100000000	22	9.734140545178969e-1	1.057355376267958e0	1.029244583879290e0	4.300331583458318e-2	4.178143514974924e-2
100000000	24	1.105986425235444e0	9.097377136719581e-1	1.006157561845915e0	3.086268184301532e-2	3.067380598560934e-2
100000000	26	1.432060628027021e0	7.276073285584519e-1	1.041977807892479e0	4.495778735488955e-2	4.314658816565573e-2
100000000	28	2.808043181375932e0	3.653874596434836e-1	1.026023764612158e0	3.510049702672783e-2	3.421021835687792e-2
100000000	30	5.870395110583916e-1	1.556108609718459e0	9.134972374028778e-1	1.611813662866246e-1	1.764442843252290e-1
100000000	32	8.865527662531951e-1	1.254582213534988e0	1.112253331901501e0	1.177025750502303e-1	1.058235310916145e-1
100000000	34	1.651253224315769e0	5.894252732091338e-1	9.732903828797855e-1	7.803967692935497e-2	8.018128844389694e-2
100000000	36	2.627576601723659e0	4.014349436375576e-1	1.054801065016302e0	5.567222758613869e-2	5.277983634314803e-2
100000000	38	7.802544191052251e-1	1.246235456733940e0	9.723807223622750e-1	1.687040396725035e-1	1.734958702828441e-1
100000000	40	1.324450671394206e0	8.404600504587543e-1	1.113147878110105e0	1.134311013650207e-1	1.019011971325887e-1
