a	b	n_two_tile	beta_bij	s_perm	overshoot_id	gauss_lgA_err	gauss_lgB_err	gauss_dA_err	gauss_dB_err	telescope_lg_err	telescope_psi_err	beta_duality_pw	beta_duality_sum_err	sum_pcl	delta_target	identity_err	certified
10	17	9	true	true	true	8.881784e-16	3.552714e-15	1.030287e-13	1.989520e-13	1.776357e-15	7.105427e-15	true	1.387779e-17	-1.472337601579159e-2	-1.472337601579137e-2	2.220446e-16	true
11	17	10	true	true	true	3.552714e-15	3.552714e-15	1.136868e-13	1.989520e-13	1.776357e-15	7.105427e-15	true	0.000000e0	-1.801833700489498e-2	-1.801833700489477e-2	2.081668e-16	true
12	17	11	true	true	true	0.000000e0	3.552714e-15	1.350031e-13	1.989520e-13	2.664535e-15	1.065814e-14	true	1.387779e-17	-1.843252853618313e-2	-1.843252853618303e-2	9.367507e-17	true
13	17	12	true	true	true	1.776357e-15	3.552714e-15	1.421085e-13	1.989520e-13	0.000000e0	1.421085e-14	true	1.387779e-17	-1.984473268137182e-2	-1.984473268137184e-2	2.775558e-17	true
14	17	13	true	true	true	1.776357e-15	3.552714e-15	1.563194e-13	1.989520e-13	0.000000e0	1.421085e-14	true	5.551115e-17	-2.179233958107109e-2	-2.179233958107093e-2	1.665335e-16	true
15	17	14	true	true	true	0.000000e0	3.552714e-15	1.634248e-13	1.989520e-13	0.000000e0	7.105427e-15	true	1.387779e-17	-2.292628093649024e-2	-2.292628093649023e-2	1.387779e-17	true
16	17	15	true	true	true	0.000000e0	3.552714e-15	1.705303e-13	1.989520e-13	1.776357e-15	7.105427e-15	true	0.000000e0	-2.396317557824028e-2	-2.396317557824037e-2	8.673617e-17	true
5	18	4	true	true	true	4.440892e-16	3.552714e-15	4.618528e-14	2.131628e-13	0.000000e0	0.000000e0	true	2.081668e-17	-7.548965052993040e-3	-7.548965052992206e-3	8.344020e-16	true
7	18	6	true	true	true	8.881784e-16	3.552714e-15	7.105427e-14	2.131628e-13	0.000000e0	5.329071e-15	true	4.163336e-17	-1.070799838083620e-2	-1.070799838083568e-2	5.221518e-16	true
11	18	10	true	true	true	3.552714e-15	3.552714e-15	1.136868e-13	2.131628e-13	1.776357e-15	1.065814e-14	true	4.163336e-17	-1.463528811710972e-2	-1.463528811710955e-2	1.682682e-16	true
13	18	12	true	true	true	1.776357e-15	3.552714e-15	1.421085e-13	2.131628e-13	1.776357e-15	1.421085e-14	true	1.387779e-17	-1.809700802774907e-2	-1.809700802774899e-2	7.632783e-17	true
17	18	16	true	true	true	3.552714e-15	3.552714e-15	1.989520e-13	2.131628e-13	1.776357e-15	1.421085e-14	true	2.081668e-17	-2.268889062533637e-2	-2.268889062533638e-2	1.040834e-17	true
2	19	1	true	true	true	1.110223e-16	3.552714e-15	1.065814e-14	1.989520e-13	1.110223e-16	2.220446e-16	true	0.000000e0	-2.441767651793401e-3	-2.441767651791091e-3	2.310652e-15	true
3	19	2	true	true	true	4.440892e-16	3.552714e-15	2.398082e-14	1.989520e-13	4.440892e-16	8.881784e-16	true	3.469447e-17	-4.494947542861831e-3	-4.494947542860207e-3	1.623701e-15	true
