rank	k	weight	d_k	omega	is_prime	factors
1101	5081	2.311242950405e-6	2	1	prime	5081 (prime)
1102	16384	2.290235273682e-6	15	1	composite	2^14
1103	4200	2.254959870410e-6	48	4	composite	2^3·3·5^2·7
1104	1073	2.244724297992e-6	4	2	composite	29·37
1105	727	2.238047119159e-6	2	1	prime	727 (prime)
1106	12281	2.235010023441e-6	2	1	prime	12281 (prime)
1107	1127	2.212684901932e-6	6	2	composite	7^2·23
1108	925	2.161106894026e-6	6	2	composite	5^2·37
1109	692	2.154952962129e-6	6	2	composite	2^2·173
1110	785	2.142824969682e-6	4	2	composite	5·157
1111	514	2.139413649066e-6	4	2	composite	2·257
1112	6277	2.122139741194e-6	2	1	prime	6277 (prime)
1113	12589	2.116699674464e-6	2	1	prime	12589 (prime)
1114	1255	2.109298516044e-6	4	2	composite	5·251
1115	19819	2.102907105446e-6	2	1	prime	19819 (prime)
1116	1222	2.080481982175e-6	8	3	composite	2·13·47
1117	112	2.070480868806e-6	10	2	composite	2^4·7
1118	8951	2.063911365616e-6	2	1	prime	8951 (prime)
1119	269	2.043263258932e-6	2	1	prime	269 (prime)
1120	1053	2.040042466875e-6	10	2	composite	3^4·13
1121	16889	1.998912454249e-6	2	1	prime	16889 (prime)
1122	16256	1.927062411712e-6	16	2	composite	2^7·127
1123	4057	1.925678729246e-6	2	1	prime	4057 (prime)
1124	859	1.865028319233e-6	2	1	prime	859 (prime)
1125	1801	1.864076711188e-6	2	1	prime	1801 (prime)
1126	1296	1.848351451775e-6	25	2	composite	2^4·3^4
1127	492	1.833715126881e-6	12	3	composite	2^2·3·41
1128	4621	1.831044632528e-6	2	1	prime	4621 (prime)
1129	2464	1.811717697357e-6	24	3	composite	2^5·7·11
1130	1447	1.785289291817e-6	2	1	prime	1447 (prime)
1131	996	1.780061020550e-6	12	3	composite	2^2·3·83
1132	1121	1.733360250845e-6	4	2	composite	19·59
1133	2543	1.707222595214e-6	2	1	prime	2543 (prime)
1134	791	1.696547403725e-6	4	2	composite	7·113
1135	671	1.690548232955e-6	4	2	composite	11·61
1136	511	1.656216326472e-6	4	2	composite	7·73
1137	1083	1.629933968249e-6	6	2	composite	3·19^2
1138	1058	1.607841287861e-6	6	2	composite	2·23^2
1139	13901	1.583710326779e-6	2	1	prime	13901 (prime)
1140	1138	1.569621238565e-6	4	2	composite	2·569
1141	3079	1.569109684209e-6	2	1	prime	3079 (prime)
1142	1031	1.561371719681e-6	2	1	prime	1031 (prime)
1143	62	1.540828023030e-6	4	2	composite	2·31
1144	125	1.540438200492e-6	4	1	composite	5^3
1145	10007	1.528167508815e-6	2	1	prime	10007 (prime)
1146	331	1.522034317828e-6	2	1	prime	331 (prime)
1147	1151	1.519976362182e-6	2	1	prime	1151 (prime)
1148	79	1.493670747111e-6	2	1	prime	79 (prime)
1149	9209	1.490728081164e-6	2	1	prime	9209 (prime)
1150	757	1.484289165966e-6	2	1	prime	757 (prime)
1151	921	1.458080716667e-6	4	2	composite	3·307
1152	1161	1.453625702564e-6	8	2	composite	3^3·43
1153	3547	1.449220406304e-6	2	1	prime	3547 (prime)
1154	1069	1.445108301783e-6	2	1	prime	1069 (prime)
1155	7559	1.439942118798e-6	2	1	prime	7559 (prime)
1156	773	1.434205584443e-6	2	1	prime	773 (prime)
1157	10909	1.384630281097e-6	2	1	prime	10909 (prime)
1158	8123	1.380856969458e-6	2	1	prime	8123 (prime)
1159	2309	1.358608519783e-6	2	1	prime	2309 (prime)
1160	8461	1.350869784172e-6	2	1	prime	8461 (prime)
1161	569	1.326966376036e-6	2	1	prime	569 (prime)
1162	486	1.283764199435e-6	12	2	composite	2·3^5
1163	11173	1.265029491497e-6	2	1	prime	11173 (prime)
1164	767	1.257328291486e-6	4	2	composite	13·59
1165	2161	1.243712014538e-6	2	1	prime	2161 (prime)
1166	485	1.216976854632e-6	4	2	composite	5·97
1167	1987	1.215477880771e-6	2	1	prime	1987 (prime)
1168	640	1.213443896421e-6	16	2	composite	2^7·5
1169	1637	1.191196916383e-6	2	1	prime	1637 (prime)
1170	883	1.190270378637e-6	2	1	prime	883 (prime)
1171	19973	1.167147931335e-6	2	1	prime	19973 (prime)
1172	1081	1.166487223145e-6	4	2	composite	23·47
1173	5591	1.160594277643e-6	2	1	prime	5591 (prime)
1174	628	1.156505290908e-6	6	2	composite	2^2·157
1175	124	1.155537761440e-6	6	2	composite	2^2·31
1176	909	1.133991207625e-6	6	2	composite	3^2·101
1177	14243	1.108244949472e-6	2	1	prime	14243 (prime)
1178	4957	1.105677592233e-6	2	1	prime	4957 (prime)
