k	weight	is_prime	d(k)	sigma(k)	omega	Omega	hub	class	factors
80	1.353902792432e-6	0	10	186	2	5	5299	spectator	2^4·5
81	1.075090959065e-6	0	5	121	1	4	3564	spectator	3^4
82	7.459023322534e-6	0	4	126	2	2	2857	spectator	2·41
83	1.576471597752e-8	1	2	84	1	1	1900	gauge boson (light)	83 (prime)
84	3.218963047063e-7	0	12	224	3	4	6047	spectator	2^2·3·7
85	4.872137942999e-6	0	4	108	2	2	3346	spectator	5·17
86	1.425016609813e-5	0	4	132	2	2	2841	spectator	2·43
87	5.904238601811e-6	0	4	120	2	2	3146	spectator	3·29
88	3.176831932696e-6	0	8	180	2	4	4641	spectator	2^3·11
89	4.566540891310e-7	1	2	90	1	1	1878	gauge boson (light)	89 (prime)
90	5.364816147301e-6	0	12	234	3	4	6187	spectator	2·3^2·5
91	6.113362272876e-9	0	4	112	2	2	3392	spectator	7·13
92	1.023597426546e-7	0	6	168	2	3	3755	spectator	2^2·23
93	4.351203339556e-6	0	4	128	2	2	3132	spectator	3·31
94	2.331223360600e-5	0	4	144	2	2	2831	spectator	2·47
95	6.369710292643e-6	0	4	120	2	2	3360	spectator	5·19
96	6.159521177863e-6	0	12	252	2	6	5693	spectator	2^5·3
97	1.499356934532e-8	1	2	98	1	1	1862	gauge boson (light)	97 (prime)
98	2.002043532708e-5	0	6	171	2	3	3939	spectator	2·7^2
99	1.936117305828e-5	0	6	156	2	3	4332	spectator	3^2·11
100	1.548360363158e-6	0	9	217	2	4	5099	spectator	2^2·5^2
101	5.583219924006e-7	1	2	102	1	1	1798	gauge boson (light)	101 (prime)
102	2.244745007723e-5	0	8	216	3	3	4683	spectator	2·3·17
103	6.980336343085e-7	1	2	104	1	1	1814	gauge boson (light)	103 (prime)
104	6.770101224911e-6	0	8	210	2	4	4651	spectator	2^3·13
105	6.790543957829e-6	0	8	192	3	3	5408	spectator	3·5·7
106	3.525347691025e-7	0	4	162	2	2	2797	spectator	2·53
107	4.134801171559e-6	1	2	108	1	1	1846	gauge boson (light)	107 (prime)
108	3.212805759368e-6	0	12	280	2	5	5855	spectator	2^2·3^3
109	3.185031213542e-8	1	2	110	1	1	1862	gauge boson (light)	109 (prime)
110	2.860348926977e-5	0	8	216	3	3	5019	spectator	2·5·11
111	1.883710366340e-5	0	4	152	2	2	3174	spectator	3·37
112	1.529666350067e-8	0	10	248	2	5	5373	spectator	2^4·7
113	3.170115080565e-7	1	2	114	1	1	1782	gauge boson (light)	113 (prime)
114	1.342016365189e-5	0	8	240	3	3	4687	spectator	2·3·19
115	3.415941381890e-5	0	4	144	2	2	3334	spectator	5·23
116	1.951573975382e-7	0	6	210	2	3	3759	spectator	2^2·29
117	3.915193000181e-5	0	6	182	2	3	4302	spectator	3^2·13
118	6.682126219146e-5	0	4	180	2	2	2773	spectator	2·59
119	2.054844850446e-5	0	4	144	2	2	3428	spectator	7·17
120	1.163170152574e-6	0	16	360	3	5	7341	spectator	2^3·3·5
121	8.277308601587e-6	0	3	133	1	2	2658	spectator	11^2
122	7.275867412515e-7	0	4	186	2	2	2817	spectator	2·61
123	3.722347660816e-6	0	4	168	2	2	3142	spectator	3·41
124	2.629373702563e-5	0	6	224	2	3	3795	spectator	2^2·31
125	3.053819708501e-5	0	4	156	1	3	3274	spectator	5^3
126	4.885680210629e-6	0	12	312	3	4	6277	spectator	2·3^2·7
127	2.408927788957e-7	1	2	128	1	1	1754	gauge boson (light)	127 (prime)
128	1.373066915031e-6	0	8	255	1	7	4291	spectator	2^7
129	1.716618300122e-6	0	4	176	2	2	3090	spectator	3·43
130	3.949113509593e-5	0	8	252	3	3	4993	spectator	2·5·13
131	7.889650090135e-6	1	2	132	1	1	1778	gauge boson (light)	131 (prime)
132	3.254055717112e-6	0	12	336	3	4	6167	spectator	2^2·3·11
133	2.057786017280e-6	0	4	160	2	2	3410	spectator	7·19
134	3.410665679845e-5	0	4	204	2	2	2751	spectator	2·67
135	3.966799918165e-5	0	8	240	2	4	5222	spectator	3^3·5
136	1.260443121021e-5	0	8	270	2	4	4651	spectator	2^3·17
137	3.333780200643e-8	1	2	138	1	1	1814	gauge boson (light)	137 (prime)
138	8.356567814698e-6	0	8	288	3	3	4691	spectator	2·3·23
139	1.517428776067e-5	1	2	140	1	1	1826	gauge boson (light)	139 (prime)
140	7.437553544940e-6	0	12	336	3	4	6501	spectator	2^2·5·7
141	5.406213133045e-5	0	4	192	2	2	3134	spectator	3·47
142	9.206024974731e-5	0	4	216	2	2	2827	light fermion	2·71
143	1.177675271234e-4	0	4	168	2	2	3388	fermion	11·13
144	7.786948421926e-5	0	15	403	2	6	6749	light fermion	2^4·3^2
145	2.271114956103e-5	0	4	180	2	2	3278	spectator	5·29
146	2.886742123437e-6	0	4	222	2	2	2721	spectator	2·73
147	1.115928791257e-6	0	6	228	2	3	4278	spectator	3·7^2
148	2.546870045474e-6	0	6	266	2	3	3723	spectator	2^2·37
149	9.696722782722e-6	1	2	150	1	1	1738	gauge boson (light)	149 (prime)
150	5.069773687996e-5	0	12	372	3	4	6299	spectator	2·3·5^2
151	1.797254194832e-5	1	2	152	1	1	1748	gauge boson (light)	151 (prime)
152	7.040116673796e-7	0	8	300	2	4	4651	spectator	2^3·19
153	7.676043478850e-6	0	6	234	2	3	4290	spectator	3^2·17
154	5.152554491812e-5	0	8	288	3	3	5053	spectator	2·7·11
155	3.022740699265e-6	0	4	192	2	2	3324	spectator	5·31
156	1.378493054659e-4	0	12	392	3	4	6173	fermion	2^2·3·13
157	3.605708400122e-5	1	2	158	1	1	1778	gauge boson	157 (prime)
158	2.989548107937e-5	0	4	240	2	2	2745	spectator	2·79
159	1.020392343718e-4	0	4	216	2	2	3066	light fermion	3·53
160	8.732752362136e-5	0	12	378	2	6	6099	light fermion	2^5·5
161	2.243793592976e-5	0	4	192	2	2	3428	spectator	7·23
162	5.652560711053e-6	0	10	363	2	5	5293	spectator	2·3^4
163	2.431422324454e-5	1	2	164	1	1	1808	gauge boson (light)	163 (prime)
164	2.999143420061e-4	0	6	294	2	3	3755	heavy fermion	2^2·41
165	3.169048787271e-4	0	8	288	3	3	5528	heavy fermion	3·5·11
166	1.185048572056e-4	0	4	252	2	2	2809	fermion	2·83
167	2.223252482649e-5	1	2	168	1	1	1662	gauge boson (light)	167 (prime)
168	2.792595128942e-6	0	16	480	3	5	7439	spectator	2^3·3·7
169	5.245927990007e-5	0	3	183	1	2	2522	spectator	13^2
170	1.957848809309e-4	0	8	324	3	3	4945	fermion	2·5·17
171	6.891121263467e-5	0	6	260	2	3	4248	light fermion	3^2·19
172	5.688162435852e-6	0	6	308	2	3	3675	spectator	2^2·43
173	1.065756750363e-6	1	2	174	1	1	1686	gauge boson (light)	173 (prime)
174	6.301522205229e-5	0	8	360	3	3	4647	spectator	2·3·29
175	1.874522967294e-5	0	6	248	2	3	4548	spectator	5^2·7
176	1.264991259674e-5	0	10	372	2	5	5449	spectator	2^4·11
177	5.682540906161e-6	0	4	240	2	2	2996	spectator	3·59
178	2.599419457259e-7	0	4	270	2	2	2729	spectator	2·89
179	2.657244662865e-6	1	2	180	1	1	1710	gauge boson (light)	179 (prime)
180	5.201951907571e-6	0	18	546	3	5	8149	spectator	2^2·3^2·5
181	2.529955494790e-6	1	2	182	1	1	1718	gauge boson (light)	181 (prime)
182	7.899444247603e-5	0	8	336	3	3	5043	light fermion	2·7·13
183	1.622695847288e-4	0	4	248	2	2	3042	fermion	3·61
184	1.314534734997e-4	0	8	360	2	4	4603	fermion	2^3·23
185	1.816997493540e-4	0	4	228	2	2	3306	fermion	5·37
186	1.236771167854e-4	0	8	384	3	3	4651	fermion	2·3·31
187	1.612128218094e-5	0	4	216	2	2	3440	spectator	11·17
188	3.036242966640e-5	0	6	336	2	3	3697	spectator	2^2·47
189	1.602202067824e-5	0	8	320	2	4	5304	spectator	3^3·7
190	1.596095205998e-9	0	8	360	3	3	4993	spectator	2·5·19
191	2.442112037148e-6	1	2	192	1	1	1758	gauge boson (light)	191 (prime)
192	9.740717660991e-8	0	14	508	2	7	6397	spectator	2^6·3
193	2.579855129421e-5	1	2	194	1	1	1766	gauge boson (light)	193 (prime)
194	1.395287059649e-4	0	4	294	2	2	2745	fermion	2·97
195	2.375081644067e-4	0	8	336	3	3	5510	heavy fermion	3·5·13
196	1.650349268473e-4	0	9	399	2	4	5181	fermion	2^2·7^2
197	2.085025405397e-4	1	2	198	1	1	1782	excited boson	197 (prime)
198	1.808114803122e-4	0	12	468	3	4	6445	fermion	2·3^2·11
199	6.399849136188e-5	1	2	200	1	1	1790	gauge boson	199 (prime)
200	2.199182341043e-4	0	12	465	2	5	6299	heavy fermion	2^3·5^2
201	2.926460623888e-4	0	4	272	2	2	2916	heavy fermion	3·67
202	1.279379250760e-5	0	4	306	2	2	2597	spectator	2·101
203	4.247981399410e-6	0	4	240	2	2	3272	spectator	7·29
204	6.293673556630e-6	0	12	504	3	4	6117	spectator	2^2·3·17
205	3.039650667178e-5	0	4	252	2	2	3194	spectator	5·41
206	4.360418228342e-5	0	4	312	2	2	2619	spectator	2·103
