N	d_sq	d_sq*ln(N)	bt_v	vt_Gv	S1	S2	S3	M(N)	f_N(0.5)
19314	3.0888437777e-2	0.304825	0.84016031	0.71120906	0.002361	-0.976622	-0.922954	45	0.867590
19315	3.0888202367e-2	0.304824	0.84016102	0.71121025	0.002413	-0.976111	-0.917912	46	0.867591
19316	3.0887968645e-2	0.304824	0.84016173	0.71121143	0.002413	-0.976111	-0.917912	46	0.867592
19317	3.0887734945e-2	0.304823	0.84016244	0.71121262	0.002361	-0.976622	-0.922954	45	0.867592
19318	3.0887499605e-2	0.304822	0.84016315	0.71121381	0.002309	-0.977133	-0.927996	44	0.867593
19319	3.0887262623e-2	0.304822	0.84016387	0.71121500	0.002257	-0.977644	-0.933037	43	0.867594
19320	3.0887023999e-2	0.304821	0.84016458	0.71121619	0.002257	-0.977644	-0.933037	43	0.867595
19321	3.0886785398e-2	0.304820	0.84016530	0.71121739	0.002257	-0.977644	-0.933037	43	0.867595
19322	3.0886546820e-2	0.304819	0.84016602	0.71121858	0.002309	-0.977133	-0.927996	44	0.867596
19323	3.0886309929e-2	0.304819	0.84016673	0.71121977	0.002309	-0.977133	-0.927996	44	0.867597
19324	3.0886073061e-2	0.304818	0.84016745	0.71122096	0.002309	-0.977133	-0.927996	44	0.867597
19325	3.0885836215e-2	0.304817	0.84016816	0.71122215	0.002309	-0.977133	-0.927996	44	0.867598
19326	3.0885599392e-2	0.304816	0.84016887	0.71122335	0.002257	-0.977643	-0.933036	43	0.867599
19327	3.0885360928e-2	0.304816	0.84016959	0.71122454	0.002206	-0.978154	-0.938076	42	0.867599
19328	3.0885120823e-2	0.304815	0.84017031	0.71122574	0.002206	-0.978154	-0.938076	42	0.867600
19329	3.0884880741e-2	0.304814	0.84017103	0.71122694	0.002154	-0.978665	-0.943115	41	0.867601
19330	3.0884639017e-2	0.304813	0.84017175	0.71122814	0.002102	-0.979175	-0.948154	40	0.867601
19331	3.0884395653e-2	0.304812	0.84017247	0.71122934	0.002154	-0.978665	-0.943115	41	0.867602
19332	3.0884153974e-2	0.304812	0.84017320	0.71123055	0.002154	-0.978665	-0.943115	41	0.867603
19333	3.0883912317e-2	0.304811	0.84017392	0.71123175	0.002102	-0.979175	-0.948154	40	0.867603
19334	3.0883669020e-2	0.304810	0.84017464	0.71123295	0.002050	-0.979686	-0.953192	39	0.867604
19335	3.0883424081e-2	0.304809	0.84017537	0.71123416	0.001999	-0.980196	-0.958230	38	0.867605
19336	3.0883177502e-2	0.304808	0.84017610	0.71123538	0.001999	-0.980196	-0.958230	38	0.867605
19337	3.0882930944e-2	0.304808	0.84017683	0.71123659	0.002050	-0.979686	-0.953192	39	0.867606
19338	3.0882686071e-2	0.304807	0.84017756	0.71123780	0.002102	-0.979175	-0.948155	40	0.867607
19339	3.0882442884e-2	0.304806	0.84017828	0.71123900	0.002154	-0.978665	-0.943118	41	0.867607
19340	3.0882201381e-2	0.304805	0.84017900	0.71124021	0.002154	-0.978665	-0.943118	41	0.867608
19341	3.0881959901e-2	0.304804	0.84017972	0.71124141	0.002154	-0.978665	-0.943118	41	0.867609
19342	3.0881718442e-2	0.304804	0.84018044	0.71124261	0.002102	-0.979175	-0.948154	40	0.867609
19343	3.0881475344e-2	0.304803	0.84018117	0.71124381	0.002102	-0.979175	-0.948154	40	0.867610
19344	3.0881232268e-2	0.304802	0.84018189	0.71124502	0.002102	-0.979175	-0.948154	40	0.867611
19345	3.0880989215e-2	0.304801	0.84018262	0.71124622	0.002051	-0.979686	-0.953190	39	0.867611
19346	3.0880744521e-2	0.304800	0.84018334	0.71124743	0.001999	-0.980196	-0.958226	38	0.867612
19347	3.0880498187e-2	0.304800	0.84018407	0.71124864	0.002051	-0.979686	-0.953191	39	0.867613
19348	3.0880253537e-2	0.304799	0.84018480	0.71124985	0.002051	-0.979686	-0.953191	39	0.867613
19349	3.0880008909e-2	0.304798	0.84018553	0.71125106	0.002102	-0.979175	-0.948155	40	0.867614
19350	3.0879765965e-2	0.304797	0.84018625	0.71125226	0.002102	-0.979175	-0.948155	40	0.867615
19351	3.0879523043e-2	0.304796	0.84018697	0.71125347	0.002154	-0.978665	-0.943121	41	0.867615
19352	3.0879281806e-2	0.304796	0.84018769	0.71125467	0.002154	-0.978665	-0.943121	41	0.867616
19353	3.0879040590e-2	0.304795	0.84018841	0.71125587	0.002206	-0.978155	-0.938086	42	0.867617
