j	k	gcd	formula	integral	error	digits	certified	time_ms
4	50	2	4.283655463415600e-2	4.283649171765330e-2	6.29165e-8	7	true	12156.5
5	6	1	1.708554534552582e-1	1.708554028998221e-1	5.05554e-8	7	true	18385.3
5	7	1	1.540228560106704e-1	1.540228055345866e-1	5.04761e-8	7	true	18160.6
5	8	1	1.428118747466716e-1	1.428118243301084e-1	5.04166e-8	7	true	16781.4
5	9	1	1.350626974853238e-1	1.350626471150681e-1	5.03703e-8	7	true	16170.0
5	10	5	1.344418511981746e-1	1.344417928649830e-1	5.83332e-8	7	true	12811.2
5	11	1	1.204199428165691e-1	1.204198925136465e-1	5.03029e-8	7	true	14968.1
5	12	1	1.129124510056426e-1	1.129124007279637e-1	5.02777e-8	7	true	15949.3
5	13	1	1.072344701549426e-1	1.072344198986404e-1	5.02563e-8	7	true	14659.3
5	14	1	1.029032117351571e-1	1.029031614971528e-1	5.02380e-8	7	true	16501.7
5	15	5	1.016673605591035e-1	1.016673050036924e-1	5.55554e-8	7	true	11927.8
5	16	1	9.445854581883949e-2	9.445849561061408e-2	5.02082e-8	7	true	14872.1
5	17	1	9.015429045486339e-2	9.015424025888720e-2	5.01960e-8	7	true	14046.3
5	18	1	8.670687103698357e-2	8.670682085189442e-2	5.01851e-8	7	true	14102.1
5	19	1	8.394298176022488e-2	8.394293158487105e-2	5.01754e-8	7	true	13836.0
5	20	5	8.288050627435720e-2	8.288045210779053e-2	5.41666e-8	7	true	11526.6
5	21	1	7.843701975377912e-2	7.843696959516118e-2	5.01586e-8	7	true	13406.0
5	22	1	7.561742638149359e-2	7.561737623008592e-2	5.01514e-8	7	true	13395.7
5	23	1	7.328338235981229e-2	7.328333221499118e-2	5.01448e-8	7	true	12614.2
5	24	1	7.135495273976283e-2	7.135490260097356e-2	5.01388e-8	7	true	12535.2
5	25	5	7.049577246760978e-2	7.049571913437312e-2	5.33332e-8	7	true	11995.4
5	26	1	6.746013961284182e-2	6.746008948475538e-2	5.01281e-8	7	true	13396.6
5	27	1	6.545601305614118e-2	6.545596293278019e-2	5.01234e-8	7	true	13436.8
5	28	1	6.376072703448746e-2	6.376067691555250e-2	5.01189e-8	7	true	12546.8
5	29	1	6.233130783543250e-2	6.233125772059860e-2	5.01148e-8	7	true	13221.3
5	30	5	6.163384968268203e-2	6.163379690506814e-2	5.27776e-8	7	true	13040.4
5	31	1	5.941752674311890e-2	5.941747663569159e-2	5.01074e-8	7	true	14547.3
5	32	1	5.791238173532027e-2	5.791233163125172e-2	5.01041e-8	7	true	15321.3
5	33	1	5.661944092901255e-2	5.661939082809144e-2	5.01009e-8	7	true	15567.0
5	34	1	5.551309341939023e-2	5.551304332146680e-2	5.00979e-8	7	true	16383.5
5	35	5	5.493835038529705e-2	5.493829800443038e-2	5.23809e-8	7	true	13389.1
5	36	1	5.324311310929947e-2	5.324306301681206e-2	5.00925e-8	7	true	15661.2
