i,row_gcd2_12,row_inv_max,row_total_excess
87,0.2778368473,0.8560291768,1.1338660241
88,0.4035874853,0.8532209219,1.2568084072
89,0.1752992728,0.8504438534,1.0257431262
90,0.5422980533,0.8476972866,1.3899953400
91,0.2541316268,0.8449805589,1.0991121857
92,0.3361100311,0.8422930291,1.1784030602
93,0.2679880059,0.8396340763,1.1076220821
94,0.2671310182,0.8370030994,1.1041341176
95,0.2570534780,0.8343995160,1.0914529940
96,0.5007101260,0.8318227616,1.3325328876
97,0.1671513711,0.8292722891,0.9964236602
98,0.3325399252,0.8267475678,1.1592874930
99,0.3326002721,0.8242480832,1.1568483553
100,0.4161819418,0.8217733357,1.2379552775
101,0.1585662169,0.8193228407,0.9778890576
102,0.3977413160,0.8168961274,1.2146374434
103,0.1584471969,0.8144927389,0.9729399357
104,0.3739853770,0.8121122310,1.1860976081
105,0.4011890822,0.8097541724,1.2109432546
106,0.2528839621,0.8074181437,1.0603021058
107,0.1582224572,0.8051037370,0.9633261943
108,0.4853192003,0.8028105560,1.2881297563
109,0.1581162513,0.8005382149,0.9586544662
110,0.3831220425,0.7982863383,1.1814083808
111,0.2524893379,0.7960545611,1.0485438990
112,0.4101165708,0.7938425276,1.2039590984
113,0.1486565458,0.7916498917,0.9403064376
114,0.3792212831,0.7894763162,1.1686975993
115,0.2318986094,0.7873214725,1.0192200819
116,0.3052168498,0.7851850408,1.0904018905
117,0.3033084649,0.7830667089,1.0863751738
118,0.2397864938,0.7809661729,1.0207526667
119,0.2247133628,0.7788831363,1.0035964991
120,0.5652212927,0.7768173100,1.3420386027
121,0.1846236589,0.7747684119,0.9593920708
122,0.2393830935,0.7727361669,1.0121192604
123,0.2393048056,0.7707203066,1.0100251122
124,0.3005249825,0.7687205689,1.0692455514
125,0.2159352730,0.7667366979,0.9826719709
126,0.4601222139,0.7647684439,1.2248906579
127,0.1376357689,0.7628155631,0.9004513320
128,0.3266678079,0.7608778170,1.0875456249
129,0.2281377739,0.7589549730,0.9870927469
130,0.3498031699,0.7570468036,1.1068499735
131,0.1374866182,0.7551530867,0.8926397049
132,0.4540596778,0.7532736048,1.2073332827
133,0.2100939344,0.7514081457,0.9615020801
134,0.2251249657,0.7495565017,0.9746814674
135,0.3471677155,0.7477184696,1.0948861851
136,0.3312301994,0.7458938509,1.0771240503
137,0.1372791809,0.7440824512,0.8813616321
138,0.3514512324,0.7422840803,1.0937353127
139,0.1372140048,0.7404985522,0.8777125570
140,0.4433771610,0.7387256848,1.1821028458
141,0.2243467547,0.7369652997,0.9613120545
142,0.2245131113,0.7352172226,0.9597303339
143,0.1916316628,0.7334812825,0.9251129453
144,0.4765074595,0.7317573120,1.2082647715
145,0.2014917153,0.7300451473,0.9315368626
146,0.2123296599,0.7283446277,0.9406742876
147,0.2737663934,0.7266555959,1.0004219893
148,0.2702473578,0.7249778978,0.9952252557
149,0.1250100827,0.7233113823,0.8483214650
150,0.4339381440,0.7216559013,1.1555940453
151,0.1249548817,0.7200113097,0.8449661914
152,0.3131536984,0.7183774652,1.0315311636
153,0.2640961207,0.7167542281,0.9808503488
154,0.3170447305,0.7151414618,1.0321861923
155,0.1992140303,0.7135390320,0.9127530623
156,0.4209380332,0.7119468070,1.1328848403
157,0.1247976995,0.7103646577,0.8351623572
158,0.2083668510,0.7087924575,0.9171593084
159,0.2079844201,0.7072300819,0.9152145020
160,0.3964964738,0.7056774089,1.1021738827
161,0.1915009601,0.7041343188,0.8956352789
162,0.3640008251,0.7026006941,1.0666015193
163,0.1246520655,0.7010764193,0.8257284849
164,0.2635099476,0.6995613812,0.9630713287
165,0.3260651519,0.6980554684,1.0241206203
166,0.2079219514,0.6965585717,0.9044805231
167,0.1106723877,0.6950705838,0.8057429715
168,0.4778893063,0.6935913993,1.1714807056
169,0.1408259897,0.6921209147,0.8329469044
170,0.3022579741,0.6906590282,0.9929170022
171,0.2445044904,0.6892056398,0.9337101301
172,0.2487964460,0.6877606514,0.9365570974
173,0.1105433233,0.6863239663,0.7968672896
174,0.3113080003,0.6848954898,0.9962034901
175,0.2408364245,0.6834751286,0.9243115531
176,0.3284309612,0.6820627909,1.0104937521
177,0.1911784593,0.6806583867,0.8718368460
178,0.1934421233,0.6792618273,0.8727039506
179,0.1104228964,0.6778730256,0.7882959220
180,0.5114555471,0.6764918959,1.1879474430
181,0.1103845254,0.6751183538,0.7855028792
182,0.2893845996,0.6737523165,0.9631369162
183,0.1908048933,0.6723937025,0.8631985958
184,0.2835049668,0.6710424314,0.9545473981
185,0.1800799678,0.6696984243,0.8497783921
186,0.3041705752,0.6683616036,0.9725321788
187,0.1678400265,0.6670318929,0.8348719194
188,0.2426498535,0.6657092168,0.9083590703
