j	k	G_jk	abs_G_jk	product_maxjk
1	571	5.786804504030205e-3	5.786804504030205e-3	3.304265371801247e0
1	581	5.702137716785069e-3	5.702137716785069e-3	3.312942013452125e0
1	591	5.620085704925668e-3	5.620085704925668e-3	3.321470651611070e0
1	601	5.540526207831266e-3	5.540526207831266e-3	3.329856250906591e0
1	611	5.463344566746321e-3	5.463344566746321e-3	3.338103530282002e0
1	621	5.388433138395651e-3	5.388433138395651e-3	3.346216978943699e0
1	631	5.315690762339152e-3	5.315690762339152e-3	3.354200871036005e0
1	641	5.245022276384845e-3	5.245022276384845e-3	3.362059279162686e0
1	651	5.176338075057171e-3	5.176338075057171e-3	3.369796086862219e0
1	661	5.109553706705732e-3	5.109553706705732e-3	3.377415000132489e0
1	671	5.044589505351005e-3	5.044589505351005e-3	3.384919558090524e0
1	681	4.981370253809128e-3	4.981370253809128e-3	3.392313142844016e0
1	691	4.919824875026847e-3	4.919824875026847e-3	3.399598988643551e0
1	701	4.859886148898073e-3	4.859886148898073e-3	3.406780190377549e0
1	711	4.801490452131844e-3	4.801490452131844e-3	3.413859711465741e0
1	721	4.744577519003588e-3	4.744577519003588e-3	3.420840391201587e0
1	731	4.689090221052200e-3	4.689090221052200e-3	3.427724951589158e0
1	741	4.634974363988778e-3	4.634974363988778e-3	3.434516003715685e0
1	751	4.582178500262462e-3	4.582178500262462e-3	3.441216053697109e0
1	761	4.530653755887671e-3	4.530653755887671e-3	3.447827508230517e0
1	771	4.480353670277886e-3	4.480353670277886e-3	3.454352679784250e0
1	781	4.431234047956042e-3	4.431234047956042e-3	3.460793791453669e0
1	791	4.383252821122802e-3	4.383252821122802e-3	3.467152981508136e0
1	801	4.336369922162845e-3	4.336369922162845e-3	3.473432307652439e0
1	811	4.290547165257623e-3	4.290547165257623e-3	3.479633751023933e0
1	821	4.245748136351798e-3	4.245748136351798e-3	3.485759219944826e0
1	831	4.201938090791078e-3	4.201938090791078e-3	3.491810553447386e0
1	841	4.159083858012320e-3	4.159083858012320e-3	3.497789524588361e0
1	851	4.117153752723339e-3	4.117153752723339e-3	3.503697843567561e0
1	861	4.076117492060779e-3	4.076117492060779e-3	3.509537160664331e0
1	871	4.035946118260064e-3	4.035946118260064e-3	3.515309069004515e0
1	881	3.996611926412642e-3	3.996611926412642e-3	3.521015107169537e0
1	891	3.958088396922863e-3	3.958088396922863e-3	3.526656761658271e0
1	901	3.920350132310282e-3	3.920350132310282e-3	3.532235469211564e0
1	911	3.883372798033495e-3	3.883372798033495e-3	3.537752619008514e0
1	921	3.847133067038952e-3	3.847133067038952e-3	3.543209554742874e0
1	931	3.811608567763039e-3	3.811608567763039e-3	3.548607576587390e0
1	941	3.776777835338155e-3	3.776777835338155e-3	3.553947943053204e0
1	951	3.742620265773954e-3	3.742620265773954e-3	3.559231872751030e0
1	961	3.709116072903450e-3	3.709116072903450e-3	3.564460546060216e0
1	971	3.676246247900568e-3	3.676246247900568e-3	3.569635106711452e0
1	981	3.643992521191034e-3	3.643992521191034e-3	3.574756663288404e0
1	991	3.612337326592563e-3	3.612337326592563e-3	3.579826290653230e0
1	1001	3.581263767532997e-3	3.581263767532997e-3	3.584845031300530e0
1	1011	3.550755585206769e-3	3.550755585206769e-3	3.589813896644043e0
1	1021	3.520797128540658e-3	3.520797128540658e-3	3.594733868240012e0
1	1031	3.491373325849621e-3	3.491373325849621e-3	3.599605898950959e0
1	1041	3.462469658072338e-3	3.462469658072338e-3	3.604430914053304e0
1	1051	3.434072133484337e-3	3.434072133484337e-3	3.609209812292038e0
1	1061	3.406167263794052e-3	3.406167263794052e-3	3.613943466885490e0
1	1071	3.378742041534038e-3	3.378742041534038e-3	3.618632726482954e0
1	1081	3.351783918665906e-3	3.351783918665906e-3	3.623278416077845e0
1	1091	3.325280786323380e-3	3.325280786323380e-3	3.627881337878807e0
