a	b	strip	stirling_b	ft_a	tsum_delta	formula	lhs	identity_err	gap_algebraic	gap_numerical	gap_match
50	79	1.240506329113924e-2	3.299511411491299e-3	4.644632431431222e-3	-3.283766732152273e-3	1.665261906508992e-2	1.706544040190949e-2	4.128213e-4	9.480443624593829e-4	1.360865699278948e-3	4.128213e-4
51	79	1.241002730206007e-2	3.299511411491299e-3	4.724155990915223e-3	-3.529337049919298e-3	1.655355327655689e-2	1.690435765454729e-2	3.508044e-4	8.440145630055289e-4	1.194818940995926e-3	3.508044e-4
52	79	1.241480038948393e-2	3.299511411491299e-3	4.873217001225724e-3	-3.723465358129811e-3	1.649185097689786e-2	1.686406344407115e-2	3.722125e-4	7.775391759226274e-4	1.149751643095912e-3	3.722125e-4
53	79	1.241939336040124e-2	3.299511411491299e-3	3.914201423606276e-3	-2.909181853915456e-3	1.641262235688006e-2	1.672392434158336e-2	3.113020e-4	6.937175849875205e-4	1.005019569690820e-3	3.113020e-4
54	79	1.242381622128458e-2	3.299511411491299e-3	4.119710012458621e-3	-3.228376906429038e-3	1.623033800466648e-2	1.661466073880546e-2	3.843227e-4	5.070103718906083e-4	8.913331060295825e-4	3.843227e-4
55	79	1.242807825086306e-2	3.299511411491299e-3	4.220508627581476e-3	-3.492311040529543e-3	1.609641710844899e-2	1.645578724940629e-2	3.593701e-4	3.688274460946295e-4	7.281975870519324e-4	3.593701e-4
56	79	1.243218806509946e-2	3.299511411491299e-3	4.297706328091453e-3	-3.649502915036256e-3	1.598647370775768e-2	1.637990288964595e-2	3.934292e-4	2.547742311669235e-4	6.482034130551964e-4	3.934292e-4
57	79	1.243615367532756e-2	3.299511411491299e-3	4.291617690876870e-3	-3.724448540230197e-3	1.588880085463159e-2	1.630283423746553e-2	4.140334e-4	1.531357678127320e-4	5.671691506466722e-4	4.140334e-4
58	79	1.243998254037538e-2	3.299511411491299e-3	4.355582626901450e-3	-3.939565388205537e-3	1.580582677313189e-2	1.615551119056259e-2	3.496844e-4	6.633282126521062e-5	4.160172386959136e-4	3.496844e-4
59	79	1.244368161338768e-2	3.299511411491299e-3	4.524742388781713e-3	-4.119800373193411e-3	1.575380756487680e-2	1.614813504046729e-2	3.943275e-4	1.061453999781874e-5	4.049420155883015e-4	3.943275e-4
60	79	1.244725738396624e-2	3.299511411491299e-3	4.110834325698992e-3	-3.837908179351770e-3	1.565569049977503e-2	1.601969494180477e-2	3.640044e-4	-9.107829568250836e-5	2.729261463472217e-4	3.640044e-4
61	79	1.245071591616518e-2	3.299511411491299e-3	4.215492308385088e-3	-4.043540703654599e-3	1.556946600689653e-2	1.592217893238697e-2	3.527129e-4	-1.807613207599457e-4	1.719516047304887e-4	3.527129e-4
62	79	1.245406288280931e-2	3.299511411491299e-3	4.275882493867672e-3	-4.137602129826974e-3	1.550158687305092e-2	1.589185465834131e-2	3.902678e-4	-2.519874212496920e-4	1.382803640406976e-4	3.902678e-4
63	79	1.245730359654410e-2	3.299511411491299e-3	4.399289042613732e-3	-4.293483454554853e-3	1.545516199549518e-2	1.586262059609428e-2	4.074586e-4	-3.016530125402217e-4	1.058055880588791e-4	4.074586e-4
64	79	1.246044303797468e-2	3.299511411491299e-3	4.196925910405620e-3	-4.158956211408310e-3	1.538834337497910e-2	1.579792414846329e-2	4.095808e-4	-3.716110744868816e-4	3.796969899730933e-5	4.095808e-4
65	79	1.246348588120740e-2	3.299511411491299e-3	4.282042692234104e-3	-4.329301499594317e-3	1.533697680116511e-2	1.571573848533848e-2	3.787617e-4	-4.260204915335920e-4	-4.725880736021333e-5	3.787617e-4
66	79	1.246643651706943e-2	3.299511411491299e-3	4.181863054001909e-3	-4.311784594834425e-3	1.530161460018507e-2	1.563602638772821e-2	3.344118e-4	-4.643333283756614e-4	-1.299215408325154e-4	3.344118e-4
