t	energy
11.2400	0.476952
11.2500	0.479577
11.2600	0.482428
11.2700	0.485490
11.2800	0.488744
11.2900	0.492171
11.3000	0.495748
11.3100	0.499450
11.3200	0.503251
11.3300	0.507123
11.3400	0.511038
11.3500	0.514965
11.3600	0.518876
11.3700	0.522740
11.3800	0.526528
11.3900	0.530210
11.4000	0.533758
11.4100	0.537147
11.4200	0.540351
11.4300	0.543348
11.4400	0.546117
11.4500	0.548642
11.4600	0.550908
11.4700	0.552903
11.4800	0.554620
11.4900	0.556055
11.5000	0.557207
11.5100	0.558079
11.5200	0.558678
11.5300	0.559016
11.5400	0.559107
11.5500	0.558970
11.5600	0.558626
11.5700	0.558100
11.5800	0.557421
11.5900	0.556619
11.6000	0.555728
11.6100	0.554784
11.6200	0.553823
11.6300	0.552885
11.6400	0.552009
11.6500	0.551235
11.6600	0.550603
11.6700	0.550151
11.6800	0.549919
11.6900	0.549942
11.7000	0.550256
11.7100	0.550894
11.7200	0.551883
11.7300	0.553252
11.7400	0.555022
11.7500	0.557211
11.7600	0.559834
11.7700	0.562901
11.7800	0.566416
11.7900	0.570380
11.8000	0.574786
11.8100	0.579626
11.8200	0.584883
11.8300	0.590537
11.8400	0.596564
11.8500	0.602933
11.8600	0.609611
11.8700	0.616560
11.8800	0.623737
11.8900	0.631099
11.9000	0.638597
11.9100	0.646182
11.9200	0.653802
11.9300	0.661405
11.9400	0.668938
11.9500	0.676349
11.9600	0.683585
11.9700	0.690596
11.9800	0.697335
11.9900	0.703756
12.0000	0.709817
12.0100	0.715482
12.0200	0.720717
12.0300	0.725495
12.0400	0.729793
12.0500	0.733596
12.0600	0.736894
12.0700	0.739684
12.0800	0.741971
12.0900	0.743766
12.1000	0.745087
12.1100	0.745960
12.1200	0.746418
12.1300	0.746499
12.1400	0.746250
12.1500	0.745724
12.1600	0.744976
12.1700	0.744072
12.1800	0.743078
12.1900	0.742066
12.2000	0.741110
12.2100	0.740288
12.2200	0.739678
12.2300	0.739359
12.2400	0.739410
12.2500	0.739908
12.2600	0.740929
12.2700	0.742546
12.2800	0.744826
12.2900	0.747832
12.3000	0.751623
12.3100	0.756247
12.3200	0.761749
12.3300	0.768164
12.3400	0.775516
12.3500	0.783823
12.3600	0.793092
12.3700	0.803318
12.3800	0.814488
12.3900	0.826578
12.4000	0.839552
12.4100	0.853364
12.4200	0.867959
12.4300	0.883272
12.4400	0.899227
12.4500	0.915741
12.4600	0.932723
12.4700	0.950075
12.4800	0.967691
12.4900	0.985464
12.5000	1.003279
12.5100	1.021023
12.5200	1.038577
12.5300	1.055827
12.5400	1.072658
12.5500	1.088959
12.5600	1.104623
12.5700	1.119552
12.5800	1.133653
12.5900	1.146842
12.6000	1.159047
12.6100	1.170208
12.6200	1.180277
12.6300	1.189221
12.6400	1.197021
12.6500	1.203676
12.6600	1.209199
12.6700	1.213622
12.6800	1.216995
12.6900	1.219385
12.7000	1.220876
12.7100	1.221570
12.7200	1.221586
12.7300	1.221061
12.7400	1.220144
12.7500	1.219001
12.7600	1.217811
12.7700	1.216763
12.7800	1.216058
12.7900	1.215903
12.8000	1.216513
12.8100	1.218106
12.8200	1.220902
12.8300	1.225120
12.8400	1.230975
12.8500	1.238678
12.8600	1.248431
12.8700	1.260425
12.8800	1.274837
12.8900	1.291829
12.9000	1.311544
12.9100	1.334104
12.9200	1.359608
12.9300	1.388131
12.9400	1.419721
12.9500	1.454397
12.9600	1.492147
12.9700	1.532931
12.9800	1.576676
12.9900	1.623275
13.0000	1.672592
13.0100	1.724457
13.0200	1.778670
13.0300	1.834998
13.0400	1.893183
13.0500	1.952936
13.0600	2.013946
13.0700	2.075878
13.0800	2.138378
13.0900	2.201077
13.1000	2.263592
13.1100	2.325534
13.1200	2.386507
13.1300	2.446119
13.1400	2.503982
13.1500	2.559721
13.1600	2.612974
13.1700	2.663405
13.1800	2.710703
13.1900	2.754591
13.2000	2.794831
13.2100	2.831229
13.2200	2.863643
13.2300	2.891985
13.2400	2.916230
13.2500	2.936417
13.2600	2.952657
13.2700	2.965137
13.2800	2.974121
13.2900	2.979958
13.3000	2.983081
13.3100	2.984011
13.3200	2.983362
13.3300	2.981834
13.3400	2.980224
13.3500	2.979418
13.3600	2.980392
13.3700	2.984213
13.3800	2.992035
13.3900	3.005092
13.4000	3.024703
13.4100	3.052256
13.4200	3.089214
13.4300	3.137098
13.4400	3.197489
13.4500	3.272013
13.4600	3.362337
13.4700	3.470159
13.4800	3.597199
13.4900	3.745184
13.5000	3.915844
13.5100	4.110898
13.5200	4.332040
13.5300	4.580929
13.5400	4.859180
13.5500	5.168346
13.5600	5.509910
13.5700	5.885270
13.5800	6.295728
13.5900	6.742479
13.6000	7.226596
13.6100	7.749022
13.6200	8.310559
13.6300	8.911852
13.6400	9.553388
13.6500	10.235479
13.6600	10.958258
13.6700	11.721671
13.6800	12.525469
13.6900	13.369204
13.7000	14.252222
13.7100	15.173663
13.7200	16.132457
13.7300	17.127321
13.7400	18.156765
13.7500	19.219084
13.7600	20.312371
13.7700	21.434514
13.7800	22.583201
13.7900	23.755932
13.8000	24.950022
13.8100	26.162610
13.8200	27.390672
13.8300	28.631029
13.8400	29.880361
13.8500	31.135221
13.8600	32.392047
13.8700	33.647179
13.8800	34.896875
13.8900	36.137327
13.9000	37.364677
13.9100	38.575037
13.9200	39.764508
13.9300	40.929196
13.9400	42.065231
13.9500	43.168787
13.9600	44.236102
13.9700	45.263494
13.9800	46.247381
13.9900	47.184299
14.0000	48.070920
14.0100	48.904066
14.0200	49.680732
14.0300	50.398094
14.0400	51.053528
14.0500	51.644624
14.0600	52.169196
14.0700	52.625295
14.0800	53.011219
14.0900	53.325524
14.1000	53.567028
14.1100	53.734818
14.1200	53.828257
14.1300	53.846987
14.1400	53.790928
14.1500	53.660282
14.1600	53.455527
14.1700	53.177421
14.1800	52.826993
14.1900	52.405539
14.2000	51.914614
14.2100	51.356025
14.2200	50.731823
14.2300	50.044286
14.2400	49.295914
14.2500	48.489413
14.2600	47.627679
14.2700	46.713786
14.2800	45.750969
14.2900	44.742605
14.3000	43.692200
14.3100	42.603369
14.3200	41.479816
14.3300	40.325318
14.3400	39.143709
14.3500	37.938852
14.3600	36.714632
14.3700	35.474927
14.3800	34.223599
14.3900	32.964468
14.4000	31.701300
14.4100	30.437787
14.4200	29.177534
