j	k	tau	M_bd	G_bd	M_hf	G_hf
5	47	2.24070969	0.0028390119	0.0435212290	0.0157435440	0.2413439593
5	48	2.26176310	0.0027630495	0.0428049792	0.0155738495	0.2412690397
5	49	2.28238239	0.0026964494	0.0422061093	0.0154194482	0.2413525398
5	50	2.30258509	0.0026469641	0.0418521779	0.0157430952	0.2489201908
6	6	0.00000000	0.0303729138	0.1822374826	0.0532953246	0.3197719477
6	7	0.15415068	0.0231889273	0.1502814252	0.0373208332	0.2418666425
6	8	0.28768207	0.0197497877	0.1368305427	0.0354905789	0.2458859436
6	9	0.40546511	0.0174828966	0.1284725280	0.0344016275	0.2527993011
6	10	0.51082562	0.0154905140	0.1199890055	0.0316159582	0.2448961592
6	11	0.60613580	0.0141289263	0.1147839398	0.0297832521	0.2419602842
6	12	0.69314718	0.0135205305	0.1147255059	0.0331903603	0.2816295460
6	13	0.77318989	0.0117975772	0.1041933806	0.0274478066	0.2424124644
6	14	0.84729786	0.0107354241	0.0983917867	0.0267062749	0.2447670521
6	15	0.91629073	0.0099442274	0.0943392244	0.0262377413	0.2489130692
6	16	0.98082925	0.0092003650	0.0901447984	0.0249655837	0.2446117651
6	17	1.04145387	0.0086343706	0.0872028689	0.0240148654	0.2425382521
6	18	1.09861229	0.0083240631	0.0865062013	0.0258660958	0.2688083526
6	19	1.15267951	0.0076027434	0.0811750859	0.0227303939	0.2426941943
6	20	1.20397280	0.0071061255	0.0778437051	0.0222626465	0.2438750736
6	21	1.25276297	0.0067159385	0.0753862228	0.0220306150	0.2472930402
6	22	1.29928298	0.0063491525	0.0729462091	0.0212420617	0.2440527083
6	23	1.34373475	0.0060482759	0.0710511543	0.0206340580	0.2423952974
6	24	1.38629436	0.0058671089	0.0704053070	0.0218697592	0.2624371099
6	25	1.42711636	0.0054767959	0.0670767774	0.0198332301	0.2429064680
6	26	1.46633707	0.0052031319	0.0649870968	0.0195382860	0.2440331143
6	27	1.50407740	0.0049804354	0.0633905941	0.0193462062	0.2462370044
6	28	1.54044504	0.0047557877	0.0616420544	0.0188243294	0.2439911959
6	29	1.57553636	0.0045763193	0.0603657973	0.0184177158	0.2429463570
6	30	1.60943791	0.0044559005	0.0597821787	0.0192481427	0.2582409327
6	31	1.64222774	0.0042204401	0.0575591293	0.0178006846	0.2427689712
6	32	1.67397643	0.0040477907	0.0560878337	0.0175865713	0.2436866797
6	33	1.70474809	0.0038991169	0.0548654379	0.0174537833	0.2455965013
6	34	1.73460106	0.0037547281	0.0536282437	0.0170646978	0.2437326363
6	35	1.76358859	0.0036320546	0.0526334721	0.0167647903	0.2429448928
6	36	1.79175947	0.0035543309	0.0522377825	0.0174223907	0.2560558040
6	37	1.81915844	0.0033963078	0.0506038468	0.0163103159	0.2430182339
6	38	1.84582669	0.0032787679	0.0495083100	0.0161372656	0.2436673663
6	39	1.87180218	0.0031779378	0.0486131005	0.0160409377	0.2453791625
6	40	1.89711998	0.0030733061	0.0476114532	0.0156932155	0.2431182496
6	41	1.92181260	0.0029885049	0.0468728675	0.0154612187	0.2424997395
6	42	1.94591015	0.0029280089	0.0464807005	0.0160158368	0.2542435268
6	43	1.96944065	0.0028172746	0.0452521314	0.0151274886	0.2429834460
6	44	1.99243016	0.0027356262	0.0444486641	0.0149892021	0.2435457072
6	45	2.01490302	0.0026614250	0.0437316755	0.0149038020	0.2448944558
6	46	2.03688193	0.0025889239	0.0430104346	0.0146570458	0.2435011329
6	47	2.05838813	0.0025256645	0.0424131186	0.0144752071	0.2430800622
6	48	2.07944154	0.0024764960	0.0420275311	0.0148992983	0.2528494774
6	49	2.10006083	0.0023948452	0.0410630411	0.0141666626	0.2429076628
6	50	2.12026354	0.0023295182	0.0403484392	0.0140550243	0.2434401627
7	7	0.00000000	0.0227986016	0.1595902112	0.0459382905	0.3215680334
7	8	0.13353139	0.0179247737	0.1341367238	0.0324589993	0.2429009093
7	9	0.25131443	0.0154085457	0.1223015397	0.0304742488	0.2418818511
7	10	0.35667494	0.0136624263	0.1143080593	0.0288858453	0.2416763213
7	11	0.45198512	0.0123239491	0.1081422144	0.0275957236	0.2421514918
7	12	0.53899650	0.0112516092	0.1031227014	0.0264575116	0.2424870997
7	13	0.61903921	0.0104687263	0.0998652840	0.0254899516	0.2431586403
7	14	0.69314718	0.0101036975	0.1000215024	0.0285757469	0.2828854616
7	15	0.76214005	0.0089562724	0.0917744827	0.0237507572	0.2433728397
7	16	0.82667857	0.0082197693	0.0869898613	0.0229528909	0.2429105650
7	17	0.88730320	0.0076402068	0.0833448161	0.0222819502	0.2430673800
7	18	0.94446161	0.0071454628	0.0802076208	0.0216642032	0.2431800776
7	19	0.99852883	0.0067328722	0.0776472703	0.0210704375	0.2429961398
7	20	1.04982212	0.0063905947	0.0756145364	0.0205389172	0.2430197458
7	21	1.09861229	0.0062037462	0.0752164256	0.0222628975	0.2699232871
7	22	1.14513230	0.0057288240	0.0710928360	0.0196185598	0.2434599245
7	23	1.18958407	0.0053951965	0.0684573692	0.0191443378	0.2429144142
7	24	1.23214368	0.0051193786	0.0663547303	0.0187784775	0.2433968868
7	25	1.27296568	0.0048726995	0.0644597548	0.0183935442	0.2433237182
7	26	1.31218639	0.0046605620	0.0628744190	0.0180379436	0.2433451635
7	27	1.34992672	0.0044849537	0.0616579192	0.0177212772	0.2436272822
7	28	1.38629436	0.0043692234	0.0611691273	0.0188256966	0.2635597525
7	29	1.42138568	0.0041158165	0.0586413590	0.0171161640	0.2438677984
7	30	1.45528723	0.0039281432	0.0569242031	0.0167770000	0.2431218281
7	31	1.48807706	0.0037707498	0.0555466138	0.0165152550	0.2432848978
7	32	1.51982575	0.0036286802	0.0543091126	0.0162575996	0.2433214711
7	33	1.55059741	0.0034966365	0.0531442736	0.0160046720	0.2432499544
7	34	1.58045038	0.0033872908	0.0522565779	0.0157968128	0.2437013588
7	35	1.60943791	0.0033145837	0.0518814407	0.0165954516	0.2597599049
7	36	1.63760879	0.0031623606	0.0502009187	0.0153690639	0.2439763259
7	37	1.66500776	0.0030451608	0.0490072245	0.0151420609	0.2436884078
7	38	1.69167601	0.0029458868	0.0480459593	0.0149245254	0.2434116425
7	39	1.71765150	0.0028528289	0.0471364689	0.0147428172	0.2435913182
7	40	1.74296931	0.0027636544	0.0462447831	0.0145132991	0.2428539445
7	41	1.76766192	0.0026925486	0.0456146663	0.0143720674	0.2434782629
7	42	1.79175947	0.0026412250	0.0452875749	0.0149986362	0.2571730394
7	43	1.81528997	0.0025395137	0.0440589160	0.0140586729	0.2439088587
7	44	1.83827948	0.0024618194	0.0432047548	0.0138786679	0.2435696326
7	45	1.86075234	0.0023922682	0.0424585488	0.0137206835	0.2435179750
7	46	1.88273125	0.0023283079	0.0417799910	0.0135652360	0.2434194563
