a	b	M	integral	formula	error	error_abs	error_times_aM	time_ms
3	7	100	1.72294542439747067e-1	1.73136742391617332e-1	-8.42199951870264973e-4	8.42199951870264973e-4	2.52659985561079492e-1	1.5
3	7	200	1.72713760832362506e-1	1.73136742391617332e-1	-4.22981559254825834e-4	4.22981559254825834e-4	2.53788935552895500e-1	2.9
3	7	500	1.72967435802763914e-1	1.73136742391617332e-1	-1.69306588853418427e-4	1.69306588853418427e-4	2.53959883280127641e-1	7.8
3	7	1000	1.73052074383277854e-1	1.73136742391617332e-1	-8.46680083394779626e-5	8.46680083394779626e-5	2.54004025018433888e-1	15.9
3	7	2000	1.73094414682895908e-1	1.73136742391617332e-1	-4.23277087214235515e-5	4.23277087214235515e-5	2.53966252328541309e-1	31.9
3	7	5000	1.73119812920692534e-1	1.73136742391617332e-1	-1.69294709247980180e-5	1.69294709247980180e-5	2.53942063871970269e-1	80.4
3	7	10000	1.73128276902209138e-1	1.73136742391617332e-1	-8.46548940819369378e-6	8.46548940819369378e-6	2.53964682245810813e-1	159.6
3	7	20000	1.73132509610531615e-1	1.73136742391617332e-1	-4.23278108571678580e-6	4.23278108571678580e-6	2.53966865143007148e-1	316.0
3	7	50000	1.73135049265162155e-1	1.73136742391617332e-1	-1.69312645517671889e-6	1.69312645517671889e-6	2.53968968276507834e-1	788.1
3	8	10	1.51388950390343086e-1	1.59579576000371010e-1	-8.19062561002792400e-3	8.19062561002792400e-3	2.45718768300837720e-1	0.2
3	8	20	1.55346031990293704e-1	1.59579576000371010e-1	-4.23354401007730585e-3	4.23354401007730585e-3	2.54012640604638351e-1	0.3
3	8	50	1.57900768916885509e-1	1.59579576000371010e-1	-1.67880708348550067e-3	1.67880708348550067e-3	2.51821062522825101e-1	0.7
3	8	100	1.58734226385371630e-1	1.59579576000371010e-1	-8.45349614999379995e-4	8.45349614999379995e-4	2.53604884499813998e-1	1.5
3	8	200	1.59158390029721708e-1	1.59579576000371010e-1	-4.21185970649301522e-4	4.21185970649301522e-4	2.52711582389580913e-1	3.1
3	8	500	1.59410576165413320e-1	1.59579576000371010e-1	-1.68999834957689332e-4	1.68999834957689332e-4	2.53499752436533998e-1	7.7
3	8	1000	1.59495136142332045e-1	1.59579576000371010e-1	-8.44398580389649211e-5	8.44398580389649211e-5	2.53319574116894763e-1	14.6
