k	eigenvalue	dominant_omega	purity	P_0	P_1	P_2	P_3	P_4
8123	2.003372609256737e-6	2	0.44033659	0.00000000	0.12263389	0.44033659	0.37238812	0.06464140
8124	2.006442066743239e-6	2	0.42021661	0.00000000	0.14009965	0.42021661	0.37057980	0.06910394
8125	2.008079091638410e-6	2	0.44231028	0.00000000	0.12612076	0.44231028	0.36760475	0.06396421
8126	2.010349933768002e-6	2	0.42484867	0.00000000	0.12663737	0.42484867	0.37425533	0.07425862
8127	2.012356014018646e-6	2	0.43589203	0.00000000	0.13111338	0.43589203	0.35704777	0.07594682
8128	2.013091626857131e-6	2	0.41239524	0.00000000	0.13299885	0.41239524	0.38778854	0.06681737
8129	2.014532395716808e-6	2	0.42078356	0.00000000	0.13215910	0.42078356	0.37265251	0.07440483
8130	2.016693776618700e-6	2	0.43677676	0.00000000	0.13607022	0.43677676	0.36399859	0.06315442
8131	2.018032612608045e-6	2	0.42580174	0.00000000	0.14598943	0.42580174	0.36185921	0.06634962
8132	2.020599178848355e-6	2	0.43971191	0.00000000	0.13265266	0.43971191	0.35275465	0.07488078
8133	2.023176074995378e-6	2	0.43784606	0.00000000	0.13365061	0.43784606	0.36032950	0.06817383
8134	2.024456884651686e-6	2	0.43318771	0.00000000	0.13433661	0.43318771	0.34547921	0.08699646
8135	2.029033942104373e-6	2	0.43559399	0.00000000	0.13977858	0.43559399	0.35183269	0.07279474
8136	2.029646869548427e-6	2	0.44440653	0.00000000	0.13880165	0.44440653	0.34994635	0.06684547
8137	2.030876565235887e-6	2	0.41619375	0.00000000	0.13924825	0.41619375	0.37671092	0.06784708
8138	2.031908305554637e-6	2	0.42864782	0.00000000	0.13858998	0.42864782	0.35986621	0.07289599
8139	2.035288157409701e-6	2	0.43851116	0.00000000	0.12963672	0.43851116	0.36304161	0.06881051
8140	2.037395772458996e-6	2	0.42551823	0.00000000	0.13771889	0.42551823	0.36516761	0.07159527
8141	2.038776042190593e-6	2	0.42973209	0.00000000	0.13799380	0.42973209	0.35986656	0.07240755
8142	2.042385213021229e-6	2	0.43591216	0.00000000	0.13661417	0.43591216	0.35869407	0.06877961
8143	2.044723026786421e-6	2	0.43558641	0.00000000	0.13866779	0.43558641	0.35157475	0.07417104
8144	2.046103444552219e-6	2	0.43516257	0.00000000	0.12821343	0.43516257	0.36528609	0.07133792
8145	2.049171429535030e-6	2	0.42196635	0.00000000	0.13815616	0.42196635	0.36362489	0.07625260
8146	2.049349173312245e-6	2	0.43423428	0.00000000	0.13857682	0.43423428	0.35883781	0.06835109
8147	2.052644020707537e-6	2	0.42062487	0.00000000	0.13148907	0.42062487	0.37462044	0.07326562
8148	2.054303208057578e-6	2	0.41263959	0.00000000	0.15275127	0.41263959	0.35847235	0.07613680
8149	2.054631166583321e-6	2	0.42447792	0.00000000	0.12865010	0.42447792	0.36715966	0.07971232
8150	2.056708787823701e-6	2	0.43838811	0.00000000	0.13415246	0.43838811	0.35831988	0.06913955
8151	2.058266543777366e-6	2	0.41711587	0.00000000	0.14558340	0.41711587	0.36708076	0.07021998
8152	2.060403492846347e-6	2	0.41514905	0.00000000	0.13914256	0.41514905	0.37088998	0.07481841
8153	2.062331504331639e-6	2	0.42860303	0.00000000	0.13502220	0.42860303	0.37079912	0.06557564
8154	2.064534962436586e-6	2	0.43747423	0.00000000	0.13292553	0.43747423	0.35491456	0.07468568
8155	2.066551458507220e-6	2	0.43892128	0.00000000	0.13394762	0.43892128	0.35997001	0.06716109
8156	2.070686927805070e-6	2	0.43379315	0.00000000	0.13005781	0.43379315	0.35805262	0.07809643
8157	2.072217835029986e-6	2	0.42562478	0.00000000	0.12723621	0.42562478	0.36846977	0.07866924
8158	2.074733270440097e-6	2	0.43566001	0.00000000	0.12770186	0.43566001	0.36349698	0.07314114
8159	2.075420154027108e-6	2	0.42482544	0.00000000	0.13974836	0.42482544	0.36831766	0.06710854
8160	2.080657287571338e-6	2	0.41920894	0.00000000	0.13036743	0.41920894	0.37610656	0.07431708
8161	2.082635811411788e-6	2	0.42655307	0.00000000	0.13416135	0.42655307	0.36150938	0.07777620
8162	2.084458868885856e-6	2	0.44435295	0.00000000	0.12900446	0.44435295	0.35675238	0.06989022
8163	2.085044828227158e-6	2	0.43085050	0.00000000	0.13777385	0.43085050	0.35377662	0.07759903
8164	2.085353572674867e-6	2	0.42437166	0.00000000	0.13613587	0.42437166	0.36877570	0.07071677
8165	2.087590591794648e-6	2	0.42692660	0.00000000	0.13542094	0.42692660	0.36367501	0.07397744
8166	2.091381015207812e-6	2	0.43843085	0.00000000	0.14328410	0.43843085	0.34595206	0.07233300
8167	2.092583084597119e-6	2	0.43799495	0.00000000	0.13782868	0.43799495	0.35615714	0.06801922
8168	2.094799494504473e-6	2	0.42428413	0.00000000	0.13553507	0.42428413	0.36460274	0.07557806
