N	vtGv	vtB1v	vtL1v	btv	d2	ratio	max_partial	c_inner	tv_outer	abel_product	coprime	p2_contrib	p3_contrib	gcd_diag	gcd_1	gcd_2	gcd_3	gcd_4	gcd_5	gcd_6plus	ramanujan	divisor_wt	euler_phi	cancel_eff	noncop_l1	is_hcn	is_prime	prime_power	time
2268	0.6401744826	1.1986699778	-0.5584954952	0.7956902379	0.0487940069	0.1194118343	3.4312838989	1.5089793084	1328.0723891433	4562.1711419043	-0.4704184969	0.0926613668	-0.2471988666	1.8520804037	-0.4704184969	0.1090642300	-0.2263936726	0.0000000000	-0.1268823290	-0.4972756526	167.7366722701	2.3740335105	0.1947162931	0.4659293263	-0.0880769983	false	false		1.779
2269	0.6401897360	1.1990595699	-0.5588698338	0.7956999732	0.0487897895	0.1194072030	3.4315445378	1.5089498814	1328.8927475957	4565.3326780670	-0.4704457957	0.0927075099	-0.2472022541	1.8521891914	-0.4704457957	0.1090569960	-0.2264330363	0.0000000000	-0.1268955872	-0.4972820321	167.8131187833	2.3743116919	0.1946893872	0.4660901325	-0.0884240382	false	true	2269	1.892
2270	0.6402052904	1.1994493006	-0.5592440103	0.7957099080	0.0487854743	0.1194024483	3.4318050321	1.5089205025	1329.7129794894	4568.4940152466	-0.4704727648	0.0927536292	-0.2472056410	1.8522979314	-0.4704727648	0.1090497576	-0.2264723848	0.0000000000	-0.1269088393	-0.4972884097	167.8896952838	2.3745900723	0.1946628035	0.4662506452	-0.0887712455	false	false		1.778
2271	0.6402211450	1.1998386130	-0.5596174679	0.7957200420	0.0487810611	0.1193975698	3.4320653820	1.5088911713	1329.6897392398	4568.7607359945	-0.4704979668	0.0927989066	-0.2472090274	1.8524066239	-0.4704979668	0.1090413476	-0.2265117181	0.0000000000	-0.1269227161	-0.4972944255	167.9696802013	2.3748678984	0.1946370416	0.4664106171	-0.0891195011	false	false		1.776
2272	0.6402366835	1.2002276961	-0.5599910126	0.7957299658	0.0487767519	0.1193928225	3.4323255876	1.5088618247	1329.6665955016	4569.0275837826	-0.4705239115	0.0928441605	-0.2472119497	1.8525152689	-0.4705239115	0.1090329335	-0.2265505725	0.0000000000	-0.1269365866	-0.4973004483	168.0487277083	2.3751457617	0.1946108301	0.4665706469	-0.0894671011	false	false		1.798
2273	0.6402522140	1.2006169185	-0.5603647045	0.7957398842	0.0487724457	0.1193880790	3.4325856491	1.5088324943	1330.4868812330	4572.1893716081	-0.4705498356	0.0928893908	-0.2472148715	1.8526238664	-0.4705498356	0.1090245154	-0.2265894120	0.0000000000	-0.1269504508	-0.4973064693	168.1277375813	2.3754235157	0.1945846320	0.4667306414	-0.0898148689	false	true	2273	1.768
2274	0.6402680439	1.2010062796	-0.5607382356	0.7957500011	0.0487680417	0.1193832117	3.4328455666	1.5088032118	1331.3070407210	4575.3509609589	-0.4705754317	0.0929345976	-0.2472177930	1.8527324164	-0.4705754317	0.1090160932	-0.2266282364	0.0000000000	-0.1269643089	-0.4973124886	168.2068765439	2.3757014679	0.1945587545	0.4668903445	-0.0901628039	false	false		1.773
2275	0.6402841728	1.2013952611	-0.5611110884	0.7957603164	0.0487635400	0.1193782206	3.4331053403	1.5087739767	1331.2837035770	4575.6169721883	-0.4705987642	0.0929789653	-0.2472211768	1.8528409191	-0.4705987642	0.1090061833	-0.2266681820	0.0000000000	-0.1269781607	-0.4973178228	168.2909285512	2.3759790037	0.1945338724	0.4670495269	-0.0905123241	false	false		1.801
2276	0.6403002933	1.2017843815	-0.5614840883	0.7957706259	0.0487590414	0.1193732332	3.4333649703	1.5087447579	1332.2493699479	4579.2783898503	-0.4706220772	0.0930233098	-0.2472245600	1.8529493745	-0.4706220772	0.1089962699	-0.2267081122	0.0000000000	-0.1269920063	-0.4973231553	168.3749418377	2.3762564304	0.1945090030	0.4672086748	-0.0908620111	false	false		1.892
2277	0.6403164054	1.2021736404	-0.5618572350	0.7957809298	0.0487545458	0.1193682494	3.4336244567	1.5096156263	1332.7439822078	4581.3257849793	-0.4706453707	0.0930676311	-0.2472279427	1.8530577825	-0.4706453707	0.1089863528	-0.2267480272	0.0000000000	-0.1270058458	-0.4973284862	168.4589164371	2.3765337480	0.1944841462	0.4673677879	-0.0912118644	false	false		1.955
2278	0.6403325092	1.2025630374	-0.5622305282	0.7957912279	0.0487500533	0.1193632693	3.4338837997	1.5095863894	1333.0693249428	4582.7889031067	-0.4706686447	0.0931119293	-0.2472313249	1.8531661433	-0.4706686447	0.1089764321	-0.2267879270	0.0000000000	-0.1270196790	-0.4973338156	168.5428523833	2.3768109565	0.1944593019	0.4675268662	-0.0915618836	false	false		1.869
