a	b	M	s_combined	ftc_sum	correction_sum	strip	formula	target	ftc_error	ftc_error_x_aM	alg_error	alg_error_x_aM
5	6	5000	9.776823043178633e-2	3.751200963755318e-2	-6.025622079423297e-2	1.333333333333333e-1	1.708554534552582e-1	3.752212012192485e-2	-1.011048e-5	2.527621e-1	6.024611e-2	1.506153e3
5	6	10000	9.777795257109866e-2	3.751706450971507e-2	-6.026088806138316e-2	1.333333333333333e-1	1.708554534552582e-1	3.752212012192485e-2	-5.055612e-6	2.527806e-1	6.025583e-2	3.012792e3
5	6	50000	9.778572988221830e-2	3.752110901708043e-2	-6.026462086513816e-2	1.333333333333333e-1	1.708554534552582e-1	3.752212012192485e-2	-1.011105e-6	2.527762e-1	6.026361e-2	1.506590e4
5	6	100000	9.778670210360703e-2	3.752161456580293e-2	-6.026508753780509e-2	1.333333333333333e-1	1.708554534552582e-1	3.752212012192485e-2	-5.055561e-7	2.527781e-1	6.026458e-2	3.013229e4
1	7	100	1.577849903768634e-1	1.577849903768634e-1	0.000000000000000e0	0.000000000000000e0	1.604060376407710e-1	1.604060376407710e-1	-2.621047e-3	2.621047e-1	-2.621047e-3	2.621047e-1
1	7	500	1.598818486990034e-1	1.598818486990034e-1	0.000000000000000e0	0.000000000000000e0	1.604060376407710e-1	1.604060376407710e-1	-5.241889e-4	2.620945e-1	-5.241889e-4	2.620945e-1
1	7	1000	1.601442515441329e-1	1.601442515441329e-1	0.000000000000000e0	0.000000000000000e0	1.604060376407710e-1	1.604060376407710e-1	-2.617861e-4	2.617861e-1	-2.617861e-4	2.617861e-1
1	7	5000	1.603536557390511e-1	1.603536557390511e-1	0.000000000000000e0	0.000000000000000e0	1.604060376407710e-1	1.604060376407710e-1	-5.238190e-5	2.619095e-1	-5.238190e-5	2.619095e-1
1	7	10000	1.603798462121042e-1	1.603798462121042e-1	0.000000000000000e0	0.000000000000000e0	1.604060376407710e-1	1.604060376407710e-1	-2.619143e-5	2.619143e-1	-2.619143e-5	2.619143e-1
1	7	50000	1.604007995931479e-1	1.604007995931479e-1	0.000000000000000e0	0.000000000000000e0	1.604060376407710e-1	1.604060376407710e-1	-5.238048e-6	2.619024e-1	-5.238048e-6	2.619024e-1
1	7	100000	1.604034185907712e-1	1.604034185907712e-1	0.000000000000000e0	0.000000000000000e0	1.604060376407710e-1	1.604060376407710e-1	-2.619050e-6	2.619050e-1	-2.619050e-6	2.619050e-1
2	7	100	1.225230135748684e-1	1.061448653874231e-1	-1.637814818744529e-2	7.142857142857142e-2	1.788527593842831e-1	1.074241879557117e-1	-1.279323e-3	2.558645e-1	1.509883e-2	3.019765e0
2	7	500	1.237652243798828e-1	1.071685033789869e-1	-1.659672100089592e-2	7.142857142857142e-2	1.788527593842831e-1	1.074241879557117e-1	-2.556846e-4	2.556846e-1	1.634104e-2	1.634104e1
2	7	1000	1.239200406196158e-1	1.072962072351965e-1	-1.662383338441936e-2	7.142857142857142e-2	1.788527593842831e-1	1.074241879557117e-1	-1.279807e-4	2.559614e-1	1.649585e-2	3.299171e1
