N	k	inner_val	predicted	ratio
200	93	-1.693382416859704e-3	1.459575647640798e0	1.160188181816285e-3
200	94	-1.677853934729126e-3	1.459113086661368e0	1.149913567404336e-3
200	95	-1.667127979577115e-3	1.458647609163326e0	1.142927166989546e-3
200	96	-1.639484795363776e-3	1.458179401158659e0	1.124336823069269e-3
200	97	-1.623084977808080e-3	1.457708639683215e0	1.113449514959865e-3
200	98	-1.630295724014678e-3	1.457235493277555e0	1.118759275035144e-3
200	99	-1.632231845408322e-3	1.456760122438350e0	1.120453409087191e-3
200	100	-1.621788435491642e-3	1.456282680042360e0	1.113649470475380e-3
200	101	-1.608506041513387e-3	1.455803311744903e0	1.104892418183509e-3
200	102	-1.600353769641287e-3	1.455322156354540e0	1.099656019564795e-3
200	103	-1.586450020004427e-3	1.454839346185609e0	1.090464059941659e-3
200	104	-1.586394093256635e-3	1.454355007390067e0	1.090788758725093e-3
200	105	-1.580036197642924e-3	1.453869260270046e0	1.086780112091677e-3
200	106	-1.565660455580807e-3	1.453382219572376e0	1.077253068392061e-3
200	107	-1.551989255001580e-3	1.452893994766252e0	1.068205430397743e-3
200	108	-1.545758296075747e-3	1.452404690305158e0	1.064275202630318e-3
200	109	-1.535892810101280e-3	1.451914405874043e0	1.057839776151737e-3
200	110	-1.531731348303781e-3	1.451423236622687e0	1.055330595276924e-3
200	111	-1.520804550353657e-3	1.450931273386144e0	1.048157537334243e-3
200	112	-1.504108264193930e-3	1.450438602893068e0	1.037002366866003e-3
200	113	-1.485225254605315e-3	1.449945307962664e0	1.024331915451503e-3
200	114	-1.479959657856949e-3	1.449451467690978e0	1.021048093603693e-3
200	115	-1.482402237797541e-3	1.448957157627184e0	1.023082173268067e-3
200	116	-1.478319670101886e-3	1.448462449940451e0	1.020613043964421e-3
200	117	-1.481413713140215e-3	1.447967413577991e0	1.023098793003619e-3
200	118	-1.478069286365185e-3	1.447472114414783e0	1.021138349848469e-3
200	119	-1.471284893432521e-3	1.446976615395494e0	1.016799357901429e-3
200	120	-1.452169107328404e-3	1.446480976669035e0	1.003932392303194e-3
200	121	-1.449446689443080e-3	1.445985255716200e0	1.002393823666733e-3
200	122	-1.446250267469362e-3	1.445489507470775e0	1.000526299218815e-3
200	123	-1.443006275493402e-3	1.444993784434504e0	9.986245553700562e-4
200	124	-1.434324162660566e-3	1.444498136786259e0	9.929567412607896e-4
200	125	-1.420861684190379e-3	1.444002612485735e0	9.839744553816834e-4
200	126	-1.406379975974547e-3	1.443507257371998e0	9.742798096733898e-4
200	127	-1.394765406613052e-3	1.443012115257158e0	9.665652781885981e-4
